Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,4/14/2017,8.3,Park Plaza London Riverbank, India , Same breakfast everyday Would ve liked something different everyday Wish there was a pool And the fitness centre wasn t great ,23,4684, The view is to die for Make sure you stay in river view room,15,3,7.9,"[' Leisure trip ', ' Couple ', ' Executive Double Room River View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",111 day,51.4913737,-0.1214194
46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,231,3/1/2016,8.7,Novotel London Blackfriars, United Kingdom , Cold,2,1362, It could be cheaper for what is,8,1,7.9,"[' Leisure trip ', ' Couple ', ' Superior Room with 1 Queen Bed 1 Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",520 day,51.5050165,-0.1049831
Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,639,9/17/2016,8.8,Glam Milano, Saudi Arabia ,No Negative,0,7371, Everything was spectacular the greatest staff i have seen in Milan cleanliness was perfect as well plus the location was great and near everything,25,6,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",320 day,45.4838504,9.2034067
51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,126,10/25/2016,8.9,The Westbourne Hyde Park, Guernsey ,No Negative,0,716, perfect location quiet room comfy beds,7,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Deluxe One Bedroom Suite ', ' Stayed 1 night ']",282 day,51.5131074,-0.1778707
11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,227,9/19/2015,8.0,Shepherd s Bush Boutique Hotel, United Kingdom , room size small milk provided had gone off not enough electricity sockets Only one dressing gown in a double room refused to get back to me about my complaints ,31,1069,No Positive,0,1,5.8,"[' Leisure trip ', ' Couple ', ' Economy Double Room basement no window ', ' Stayed 1 night ']",684 day,51.5054544,-0.2262216
79 rue Saint Dominique 7th arr 75007 Paris France,32,3/13/2016,8.9,H tel Thoumieux, Turkey , I was in a small room No place for placing your clothes other than a small wardrobe so lots of things on the floor,25,127, Live the Aesop beauty products ,7,5,8.8,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",508 day,48.8595985,2.3088076
368 370 Green Lanes London N4 1DA United Kingdom,100,3/10/2016,7.5,United Lodge Hotel and Apartments, United Kingdom ,No Negative,0,714, Without a doubt one of the favorite hotels I stayed during my time in London Upon arrival we were warmly welcomed by the staff The staff were extremely friendly and helpful The hotel has a warm personality feel to it Great quirky decorations throughout The bed was so comfortable you just do not want to get out of it Very clean throughout Will defiantly stay here again The kids also loved the free sweets ,76,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 1 night ']",511 day,51.5743549,-0.0977567
5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,832,6/2/2016,8.9,Novotel London Wembley, United Kingdom , room service guy nearly broke his neck trying to look into bathroom while my partner took a shower ,20,2924, meal we ordered in room wasn t very good ordered carbanara which was very dry,16,1,9.6,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 2 nights ']",427 day,51.5611271,-0.2787261
Poultry 27 City of London London EC2R 8AJ United Kingdom,175,7/8/2017,9.3,The Ned, United Kingdom ,No Negative,0,517, Lovely hotel rooftop bar was very nice worth a visit,11,28,9.6,"[' Leisure trip ', ' Group ', ' Double Room Medium ', ' Stayed 1 night ']",26 days,51.5135929,-0.0907833
Passeig de Gracia 84 Eixample 08008 Barcelona Spain,393,3/30/2016,8.6,Royal Passeig de Gracia, Canada , No gym or pool,5,3823, Location cleanness,3,1,8.8,"[' Business trip ', ' Solo traveler ', ' Comfort Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",491 day,41.3946775,2.162638
100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,176,8/30/2016,8.7,Crowne Plaza London Kensington, United Arab Emirates , The rooms need more light tiny Windows not a good idea so need more lights,16,743, Excellent location comfortable rooms and space lovely secret garden Room garden side was quite nice,16,5,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Two Double Beds ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",338 day,51.495179,-0.183827
Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,612,5/31/2016,8.6,Urban Lodge Hotel, Ireland , Surprised to have 2 bump beds in the room thought the family room would have the same type of beds Bump beds were a bit uncomfortable Very helpful and friendly staff Loved relaxing in the reception area Also in a great location minutes walk from the train station ,50,5018,No Positive,0,1,7.1,"[' Leisure trip ', ' Group ', ' Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",429 day,52.3856494,4.834443
Las Ramblas 117 Ciutat Vella 08002 Barcelona Spain,415,6/14/2016,8.4,Royal Ramblas, United States of America , Service at dining area could have been better glasses and silver ware were empty at times and some breakfast items were empty ,24,3340, Bed was comfortable and the room was quiet ,10,1,9.2,"[' Leisure trip ', ' Couple ', ' Standard Room 1 2 adults ', ' Stayed 5 nights ']",415 day,41.3842838,2.1707092
11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,101,12/1/2016,8.7,11 Cadogan Gardens, United Kingdom ,No Negative,0,393, Excellent hotel in very convenient location Very friendly and helpful staff Would stay again and probably will next time i visit London,23,2,9.2,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 3 nights ']",245 day,51.4936161,-0.1592347
5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,832,3/6/2017,8.9,Novotel London Wembley, United Kingdom , bed sheets had blood stains all over it and I left the room and was told I was not going to get a refund as I asked for and did not stay in the hotel,36,2924,No Positive,0,1,4.2,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ']",150 day,51.5611271,-0.2787261
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,3/6/2017,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , The hotel is tired and needs modernising on a grand scale We were not told that the tube runs directly under our window if we had been we would have requested a room on the other side of the building The bathroom was old and needed a refit On one of the days they forgot to clean our room ,61,7105, The location and price for the area is outstanding ,11,8,7.5,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ']",150 day,51.499046,-0.1917073
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,10/17/2016,9.4,Intercontinental London The O2, United Kingdom , All excellent,3,4204, Excellent room with outstanding view,6,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",290 day,51.5024348,-0.0002497
64 76 Hendon Way London NW2 2NL United Kingdom,471,3/19/2017,7.9,Best Western Palm Hotel, United Kingdom , Not quite enough milk and Earl grey tea bags in the room however reception did bring some up when we asked which was lovely of them ,28,2037, We love how close the hotel is the Alexandra Palace and north London night spots,16,4,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",137 day,51.5634756,-0.2042758
St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,3/1/2016,8.6,The Tower A Guoman Hotel, United Kingdom , NOTHING,2,3486, EVERYTHING,2,2,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ']",520 day,51.5064721,-0.0716893
Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,12/5/2016,8.5,The Mandeville Hotel, Malaysia ,No Negative,0,2300, The location is very strategic The staff was very helpful and friendly Eventhough the room was a little small but it provides with all that you need A very good experience and would recommend it ,37,2,10.0,"[' Business trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",241 day,51.5165165,-0.1509735
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,9/22/2015,8.1,Park Grand Paddington Court, United Kingdom , Bed and room was tiny couldn t swing a cat in it,13,6608, Cleanliness,2,1,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",681 day,51.5135555,-0.180002
39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,332,5/14/2016,8.7,Rubens At The Palace, Ireland ,No Negative,0,1449, We loved the hotel Meals wonderful if on the pricey side ,13,13,9.6,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ']",446 day,51.4981471,-0.1436492
One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,694,2/20/2016,8.7,Aloft London Excel, United Kingdom , Didn t get a dressing gown wasn t happy after coming out pool,14,2332,No Positive,0,2,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",530 day,51.5083719,0.0355768
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,7/17/2016,8.2,Ramada Apollo Amsterdam Centre, Ireland , I had dinner in bar 17 which was nice but a little pricey for what I got,18,5770, The beds were very comfortable shower was clean and powerful and when you got back after a long day sightseeing I had bbc and itv channels to watch,29,3,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",382 day,52.3681299,4.8440847
Paral lel 115 Sants Montju c 08004 Barcelona Spain,110,4/23/2016,8.2,Silken Concordia, United Kingdom , The tea bags and coffee were bad quality it could do with better tea and coffee facilities,18,1034, The location was very good The breakfast had a good variety The room was spacious and bed was comfy The wifi was good The staff were friendly and helpful,30,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",467 day,41.3747873,2.1611846
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,10/1/2016,8.0,Park Plaza Victoria Amsterdam, New Zealand , View from the hotel window could have been better white concrete wall and the room felt a bit run down shower was mouldy and wallpaper paint had cranks and rips ,32,4820, Location of the hotel was handy but in a very touristy part of Amsterdam Room was a good size and the staff were very helpful ,27,18,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",306 day,52.377278,4.897818
150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/3/2017,8.4,DoubleTree by Hilton London Hyde Park, South Africa , Cab drivers kept taking us the other Hilton just down the road they say the name keeps changing ,20,2405, Good value nice staff very central ,8,6,8.3,"[' Leisure trip ', ' Family with young children ', ' King Room ', ' Stayed 1 night ']",0 days,51.5100362,-0.190657
Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,239,6/16/2017,8.4,Hilton Vienna Danube Waterfront, United Kingdom , Menu a little limited if you need gluten free ,11,2349, Close to Ernst Happel Stadium for the concert we had pre booked Nice Danube waterfront location great for watching the river cruise ships go by visiting beach bars and restaurants on the Danube Island and visiting the Danube Tower TIP Visit the tower after 2pm to visit the cafe without a reservation and watch people bungee off the tower whilst you relax with a white wine spritzer Tea and coffee making facilities in the room Great surf and turf meal in the restaurant Small but adequate pool area which is in complete shade in the afternoon This was great for us as it was very hot during our stay in June Great view from our water view room We chose water view as people had commented on train noise on the city side of the hotel ,138,14,9.6,"[' Leisure trip ', ' Couple ', ' King Hilton Waterfront ', ' Stayed 5 nights ']",48 days,48.2140659,16.4217627
Avenida Diagonal 568 Sarri St Gervasi 08021 Barcelona Spain,63,10/15/2015,8.7,Wilson Boutique Hotel, Singapore , Hotel s bathroom do not have hanger for hanging clothes when we took our shower the bathroom toilet were made of glass which might bring inconvenience to some people ,31,724, Excellent service All hotel staff is very helpful helping us calling pocket wifi company when we have problem in the connection n also helped us in booking sagrada familia tickets The hotel even willing to lend us electric kettle at no charge The hotel people is very responsive when we emailed to them ,55,1,9.6,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",658 day,41.3944029,2.150194
Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,6/5/2017,8.3,Holiday Inn London Wembley, United Kingdom ,No Negative,0,3469, Clean and tidy,4,1,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",59 days,51.5590955,-0.284704
Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,419,3/29/2016,8.4,Catalonia Barcelona Plaza, Romania , The room was small for a 2 adults and a kid kind of room the furniture and bathroom kind of oldish and most important AC was not working our room was facing South the Espania Square and even if February it got really really hot ,47,4527, Location is super ,5,5,7.5,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with City View ', ' Stayed 3 nights ']",492 day,41.3750293,2.1491172
